model,eval_len_bucket,noise_type,accuracy
char_svm,3,clean,0.937
char_svm,3,no_diacritics,0.9115
char_svm,3,typo,0.907
char_svm,5,clean,0.9825
char_svm,5,no_diacritics,0.9735
char_svm,5,typo,0.971
char_svm,10,clean,0.996
char_svm,10,no_diacritics,0.9955
char_svm,10,typo,0.995
fasttext,3,clean,0.938
fasttext,3,no_diacritics,0.914
fasttext,3,typo,0.9135
fasttext,5,clean,0.9695
fasttext,5,no_diacritics,0.956
fasttext,5,typo,0.96
fasttext,10,clean,0.994
fasttext,10,no_diacritics,0.9915
fasttext,10,typo,0.993
tfidf_lr,3,clean,0.8475
tfidf_lr,3,no_diacritics,0.8185
tfidf_lr,3,typo,0.7575
tfidf_lr,5,clean,0.9455
tfidf_lr,5,no_diacritics,0.92
tfidf_lr,5,typo,0.915
tfidf_lr,10,clean,0.991
tfidf_lr,10,no_diacritics,0.981
tfidf_lr,10,typo,0.9855
