model,model_backend,train_len_bucket,eval_len_bucket,split,noise_type,n_examples,accuracy,macro_f1,runtime_sec,examples_per_sec
char_svm,sklearn,3,3,test,clean,1000,0.927,0.9268642842486541,0.01823270299973956,54846.503012432346
char_svm,sklearn,3,3,test,no_diacritics,1000,0.899,0.898775169794173,0.015050164999593107,66444.45426525462
char_svm,sklearn,3,3,test,typo,1000,0.908,0.9080666076794286,0.01511085699985415,66177.5834427956
char_svm,sklearn,5,5,test,clean,1000,0.982,0.9820089886892405,0.02712788900043961,36862.43334244677
char_svm,sklearn,5,5,test,no_diacritics,1000,0.973,0.9729888596697309,0.026844207999602077,37251.98374319047
char_svm,sklearn,5,5,test,typo,1000,0.972,0.9720048625303906,0.02835683000012068,35264.87269542273
char_svm,sklearn,10,10,test,clean,1000,0.994,0.9940049251231281,0.060452001999692584,16542.04934362778
char_svm,sklearn,10,10,test,no_diacritics,1000,0.993,0.9930023558845408,0.05736644599983265,17431.79279404754
char_svm,sklearn,10,10,test,typo,1000,0.993,0.9930023558845408,0.05888833600056387,16981.291507208232
char_svm,sklearn,3,3,val,clean,1000,0.947,0.9470487150649944,0.01633232299991505,61228.27720252663
char_svm,sklearn,3,3,val,no_diacritics,1000,0.924,0.9239986833113034,0.01550999299979594,64474.561659257786
char_svm,sklearn,3,3,val,typo,1000,0.906,0.9061965586669478,0.01563843799976894,63945.00525019028
char_svm,sklearn,5,5,val,clean,1000,0.983,0.9829812040697032,0.02988959699996485,33456.45643871264
char_svm,sklearn,5,5,val,no_diacritics,1000,0.974,0.9739779657186887,0.027456302999780746,36421.50948028165
char_svm,sklearn,5,5,val,typo,1000,0.97,0.9699246734301358,0.03138885799944546,31858.43843116773
char_svm,sklearn,10,10,val,clean,1000,0.998,0.9980024688587139,0.06300395400012349,15872.019714795044
char_svm,sklearn,10,10,val,no_diacritics,1000,0.998,0.9980024688587139,0.06022763599958125,16603.673436675363
char_svm,sklearn,10,10,val,typo,1000,0.997,0.9970048879946415,0.06203608899977553,16119.64932224561
fasttext,fasttext,3,3,test,clean,1000,0.934,0.9341953671056393,0.007236372000079427,138190.79505434821
fasttext,fasttext,3,3,test,no_diacritics,1000,0.911,0.9112457189048049,0.006738037999639346,148411.15470905998
fasttext,fasttext,3,3,test,typo,1000,0.909,0.909263834174731,0.007080888999553281,141225.20492315132
fasttext,fasttext,5,5,test,clean,1000,0.966,0.9660054815366415,0.009662389000368421,103494.07377014842
fasttext,fasttext,5,5,test,no_diacritics,1000,0.949,0.94896114596471,0.00949362499977724,105333.84244937674
fasttext,fasttext,5,5,test,typo,1000,0.958,0.957959262540542,0.010866517999602365,92025.79888392884
fasttext,fasttext,10,10,test,clean,1000,0.991,0.9909870817984492,0.017114193999987037,58431.03099104506
fasttext,fasttext,10,10,test,no_diacritics,1000,0.989,0.9889892264387224,0.020648664999498578,48429.28102249146
fasttext,fasttext,10,10,test,typo,1000,0.991,0.9909897495496629,0.017290451000008034,57835.39133823261
fasttext,fasttext,3,3,val,clean,1000,0.942,0.9420909296003819,0.007246643999678781,137994.91185772704
fasttext,fasttext,3,3,val,no_diacritics,1000,0.917,0.9171976148027451,0.006554743000378949,152561.28271424022
fasttext,fasttext,3,3,val,typo,1000,0.918,0.9179999550658124,0.007114240000191785,140563.15220923699
fasttext,fasttext,5,5,val,clean,1000,0.973,0.9730186148454368,0.010075603000586852,99249.64291881639
fasttext,fasttext,5,5,val,no_diacritics,1000,0.963,0.9629926610469333,0.009319823000623728,107298.17507618708
fasttext,fasttext,5,5,val,typo,1000,0.962,0.9620145566161419,0.010795157000757172,92634.13213257205
fasttext,fasttext,10,10,val,clean,1000,0.997,0.9969999874999218,0.016606817000138108,60216.2352961247
fasttext,fasttext,10,10,val,no_diacritics,1000,0.994,0.9940049377174278,0.016554210999856878,60407.59055255764
fasttext,fasttext,10,10,val,typo,1000,0.995,0.9949974874842967,0.01721293799982959,58095.834657041116
tfidf_lr,sklearn,3,3,test,clean,1000,0.846,0.8504472746267316,0.0029909299992141314,334344.16728668025
tfidf_lr,sklearn,3,3,test,no_diacritics,1000,0.818,0.8232916746548179,0.0029912789996160427,334305.1584717971
tfidf_lr,sklearn,3,3,test,typo,1000,0.758,0.7689327308604942,0.0029406509993350483,340060.75533142965
tfidf_lr,sklearn,5,5,test,clean,1000,0.944,0.944263074421186,0.004177533000074618,239375.7272491057
tfidf_lr,sklearn,5,5,test,no_diacritics,1000,0.921,0.9212141586614677,0.006944046999706188,144008.24188579243
tfidf_lr,sklearn,5,5,test,typo,1000,0.907,0.9083114035526977,0.0038407329993788153,260366.966451908
tfidf_lr,sklearn,10,10,test,clean,1000,0.99,0.9900073246655957,0.00723627800016402,138192.59016545987
tfidf_lr,sklearn,10,10,test,no_diacritics,1000,0.984,0.9839895864856434,0.010788144999423821,92694.34180328579
tfidf_lr,sklearn,10,10,test,typo,1000,0.984,0.9840311683197189,0.007366657999227755,135746.76605114964
tfidf_lr,sklearn,3,3,val,clean,1000,0.849,0.8532149278559858,0.002933540000412904,340885.073958169
tfidf_lr,sklearn,3,3,val,no_diacritics,1000,0.819,0.823834364015406,0.002687277999939397,372123.76241778926
tfidf_lr,sklearn,3,3,val,typo,1000,0.757,0.7672729802100108,0.0031899940004223026,313480.2134009081
tfidf_lr,sklearn,5,5,val,clean,1000,0.947,0.9472553164310226,0.003975606000494736,251533.97994558746
tfidf_lr,sklearn,5,5,val,no_diacritics,1000,0.919,0.9193921864310306,0.003925719999642752,254730.34248265336
tfidf_lr,sklearn,5,5,val,typo,1000,0.923,0.9233513869875567,0.004069380999681016,245737.61957368613
tfidf_lr,sklearn,10,10,val,clean,1000,0.992,0.9920021303931803,0.007016472000032081,142521.76877431103
tfidf_lr,sklearn,10,10,val,no_diacritics,1000,0.978,0.9779645327058016,0.006548704000124417,152701.96973034684
tfidf_lr,sklearn,10,10,val,typo,1000,0.987,0.986994701540657,0.00686361600037344,145695.79649350885
